name   kyuubiNaruto
speed 12
type none
health 200
shadow 3





anim	0001
	delay	7
	offset	46 64
	frame	data/chars/knaruto/2.gif
	offset	48 62
	frame	data/chars/knaruto/3.gif
	offset	44 62
	frame	data/chars/knaruto/4.gif
	offset	40 64
	frame	data/chars/knaruto/5.gif
	offset	44 65
	frame	data/chars/knaruto/6.gif
	offset	47 65
	frame	data/chars/knaruto/7.gif
	offset	45 66
	frame	data/chars/knaruto/8.gif
	offset	50 67
	frame	data/chars/knaruto/9.gif
		
anim	0003
	delay	7
	offset	24 58
	frame	data/chars/knaruto/10.gif
	offset	31 57
	frame	data/chars/knaruto/11.gif
	offset	22 56
	frame	data/chars/knaruto/12.gif
	offset	24 58
	frame	data/chars/knaruto/13.gif
	offset	27 53
	frame	data/chars/knaruto/14.gif
		
anim	0006
	delay	7
	offset	52 58
	frame	data/chars/knaruto/24.gif
	offset	43 57
	frame	data/chars/knaruto/25.gif
	offset	41 58
	frame	data/chars/knaruto/26.gif
		
anim	0007
	delay	7
	offset	46 63
	frame	data/chars/knaruto/27.gif
	offset	39 60
	frame	data/chars/knaruto/28.gif
	offset	45 60
	frame	data/chars/knaruto/29.gif
	offset	44 62
	frame	data/chars/knaruto/30.gif
		
anim	0008
	delay	7
	offset	45 69
	frame	data/chars/knaruto/31.gif
	offset	51 63
	frame	data/chars/knaruto/32.gif
	offset	52 62
	frame	data/chars/knaruto/33.gif
	offset	51 62
	frame	data/chars/knaruto/34.gif
	offset	39 64
	frame	data/chars/knaruto/35.gif
		
anim	0009
	delay	7
	offset	45 60
	frame	data/chars/knaruto/36.gif
	offset	39 60
	frame	data/chars/knaruto/37.gif
	offset	42 64
	frame	data/chars/knaruto/38.gif
	offset	40 64
	frame	data/chars/knaruto/39.gif
	offset	45 60
	frame	data/chars/knaruto/40.gif
	offset	39 60
	frame	data/chars/knaruto/41.gif
	offset	41 64
	frame	data/chars/knaruto/42.gif
	offset	22 57
	frame	data/chars/knaruto/43.gif
	offset	28 55
	frame	data/chars/knaruto/44.gif
	offset	32 56
	frame	data/chars/knaruto/45.gif
	offset	23 62
	frame	data/chars/knaruto/46.gif
	offset	26 64
	frame	data/chars/knaruto/47.gif
	offset	23 67
	frame	data/chars/knaruto/48.gif
	offset	30 76
	frame	data/chars/knaruto/49.gif
	offset	26 68
	frame	data/chars/knaruto/50.gif
	offset	30 73
	frame	data/chars/knaruto/51.gif
	offset	23 72
	frame	data/chars/knaruto/52.gif
	offset	29 79
	frame	data/chars/knaruto/53.gif
	offset	24 74
	frame	data/chars/knaruto/54.gif
		
anim	0010
	delay	7
	offset	33 61
	frame	data/chars/knaruto/55.gif
	offset	23 64
	frame	data/chars/knaruto/56.gif
	offset	36 63
	frame	data/chars/knaruto/57.gif
	offset	36 61
	frame	data/chars/knaruto/58.gif
	offset	35 63
	frame	data/chars/knaruto/59.gif
	offset	33 64
	frame	data/chars/knaruto/60.gif
		
anim	0011
	delay	7
	offset	27 45
	frame	data/chars/knaruto/61.gif
	offset	45 47
	frame	data/chars/knaruto/62.gif
	offset	58 52
	frame	data/chars/knaruto/63.gif
	offset	33 64
	frame	data/chars/knaruto/64.gif
	offset	25 60
	frame	data/chars/knaruto/65.gif
		
anim	0012
	delay	7
	offset	25 60
	frame	data/chars/knaruto/66.gif
	offset	25 60
	frame	data/chars/knaruto/67.gif
	offset	25 60
	frame	data/chars/knaruto/68.gif
	offset	25 60
	frame	data/chars/knaruto/69.gif
		
anim	0013
	delay	7
	offset	43 82
	frame	data/chars/knaruto/70.gif
	offset	39 82
	frame	data/chars/knaruto/71.gif
	offset	42 82
	frame	data/chars/knaruto/72.gif
	offset	46 82
	frame	data/chars/knaruto/73.gif
	offset	48 81
	frame	data/chars/knaruto/74.gif
		
anim	0014
	delay	7
	offset	33 63
	frame	data/chars/knaruto/75.gif
	offset	24 62
	frame	data/chars/knaruto/76.gif
	offset	31 54
	frame	data/chars/knaruto/77.gif
	offset	42 50
	frame	data/chars/knaruto/78.gif
	offset	33 57
	frame	data/chars/knaruto/79.gif
		
anim	0015
	delay	7
	offset	44 47
	frame	data/chars/knaruto/80.gif
		
anim	0016
	delay	7
	offset	41 64
	frame	data/chars/knaruto/81.gif
	offset	37 66
	frame	data/chars/knaruto/82.gif
		
anim	0017
	delay	7
	offset	45 68
	frame	data/chars/knaruto/83.gif
	offset	47 77
	frame	data/chars/knaruto/84.gif
	offset	41 77
	frame	data/chars/knaruto/85.gif
	offset	46 72
	frame	data/chars/knaruto/86.gif
		
anim	0018
	delay	7
	offset	38 61
	frame	data/chars/knaruto/87.gif
	offset	36 65
	frame	data/chars/knaruto/88.gif
	offset	37 58
	frame	data/chars/knaruto/89.gif
	offset	37 61
	frame	data/chars/knaruto/90.gif
	offset	43 55
	frame	data/chars/knaruto/91.gif
	offset	49 41
	frame	data/chars/knaruto/92.gif
	offset	51 36
	frame	data/chars/knaruto/93.gif
	offset	37 66
	frame	data/chars/knaruto/94.gif
		
anim	0019
	delay	7
	offset	44 63
	frame	data/chars/knaruto/95.gif
	offset	32 59
	frame	data/chars/knaruto/96.gif
	offset	30 60
	frame	data/chars/knaruto/97.gif
	offset	30 83
	frame	data/chars/knaruto/98.gif
	offset	20 89
	frame	data/chars/knaruto/99.gif
	offset	21 80
	frame	data/chars/knaruto/100.gif
	offset	35 65
	frame	data/chars/knaruto/101.gif
		
anim	0022
	delay	7
	offset	28 64
	frame	data/chars/knaruto/combo_0.gif
	offset	35 66
	frame	data/chars/knaruto/combo_1.gif
	offset	38 66
	frame	data/chars/knaruto/combo_2.gif
	offset	51 69
	frame	data/chars/knaruto/combo_3.gif
	offset	36 65
	frame	data/chars/knaruto/combo_4.gif
	offset	29 63
	frame	data/chars/knaruto/combo_5.gif
	offset	37 68
	frame	data/chars/knaruto/combo_6.gif
	offset	36 68
	frame	data/chars/knaruto/combo_7.gif
	offset	28 64
	frame	data/chars/knaruto/combo_8.gif
	offset	35 66
	frame	data/chars/knaruto/combo_9.gif
	offset	38 66
	frame	data/chars/knaruto/combo_10.gif
	offset	51 69
	frame	data/chars/knaruto/combo_11.gif
	offset	36 65
	frame	data/chars/knaruto/combo_12.gif
	offset	29 63
	frame	data/chars/knaruto/combo_13.gif
	offset	37 68
	frame	data/chars/knaruto/combo_14.gif
	offset	36 68
	frame	data/chars/knaruto/combo_15.gif
	offset	37 68
	frame	data/chars/knaruto/combo_16.gif
	offset	36 68
	frame	data/chars/knaruto/combo_17.gif
		
anim	0023
	delay	7
	offset	47 60
	frame	data/chars/knaruto/143.gif
	offset	39 60
	frame	data/chars/knaruto/144.gif
	offset	42 64
	frame	data/chars/knaruto/145.gif
	offset	45 60
	frame	data/chars/knaruto/146.gif
	offset	39 60
	frame	data/chars/knaruto/147.gif
	offset	42 64
	frame	data/chars/knaruto/148.gif
	offset	42 64
	frame	data/chars/knaruto/149.gif
	offset	45 60
	frame	data/chars/knaruto/150.gif
	offset	39 60
	frame	data/chars/knaruto/151.gif
	offset	45 60
	frame	data/chars/knaruto/152.gif
	offset	39 60
	frame	data/chars/knaruto/153.gif
	offset	42 64
	frame	data/chars/knaruto/154.gif
	offset	39 60
	frame	data/chars/knaruto/155.gif
	offset	45 60
	frame	data/chars/knaruto/156.gif
	offset	42 64
	frame	data/chars/knaruto/157.gif
	offset	45 60
	frame	data/chars/knaruto/158.gif
	offset	39 60
	frame	data/chars/knaruto/159.gif
	offset	41 64
	frame	data/chars/knaruto/160.gif
	offset	39 59
	frame	data/chars/knaruto/161.gif
	offset	42 60
	frame	data/chars/knaruto/162.gif
	offset	42 64
	frame	data/chars/knaruto/163.gif
	offset	45 60
	frame	data/chars/knaruto/164.gif
	offset	39 60
	frame	data/chars/knaruto/165.gif
