name	Orochimaru_Sword
health	900
speed	3
type	enemy
shadow  3
hostile npc player
candamage     npc player
aggression 	53
icon	data/chars/orochimaru/icon2.png

anim	attack1
	range	0 50
	loop	0
	delay	64
	offset	13 153
	bbox	0 1 32 53
	frame	data/chars/orochimaru/147.png
	attack1	0 0 41 50 45
	delay	2
	frame	data/chars/orochimaru/150.png
	offset	13 143
	attack1	0 0 41 50 85
	frame	data/chars/orochimaru/150.png
	offset	13 133
	frame	data/chars/orochimaru/150.png
	offset	13 123
	frame	data/chars/orochimaru/150.png
	offset	13 113
	frame	data/chars/orochimaru/150.png
	attack1	0 1 43 75 85
	frame	data/chars/orochimaru/143.png
	frame	data/chars/orochimaru/143.png
	frame	data/chars/orochimaru/143.png
	offset	41 85
	frame	data/chars/orochimaru/152.png
	offset	41 95
	frame	data/chars/orochimaru/152.png
	offset	41 115
	frame	data/chars/orochimaru/152.png
	offset	41 125
	frame	data/chars/orochimaru/152.png
	offset	41 135
	frame	data/chars/orochimaru/152.png
	delay	60
	Attack1	0
	offset	41 142
	frame	data/chars/orochimaru/152.png
		
anim	idle
	loop	1
	loop	
	loop	1
	loop	
	delay	34
	offset	3 161
	frame	data/chars/orochimaru/144.png
		
anim	jump
	loop	1
	offset	23 129
	delay	15
	frame	data/chars/orochimaru/138.png
	offset	23 131
	frame	data/chars/orochimaru/135.png
	offset	23 144
	frame	data/chars/orochimaru/139.png
	offset	23 131
	delay	15
	frame	data/chars/orochimaru/135.png
	offset	23 129
	frame	data/chars/orochimaru/138.png
		
anim	rise
	loop	0
	delay	34
	offset	3 161
	frame	data/chars/orochimaru/144.png
		
anim	spawn
	delay	7
	offset	0 59
	frame	data/chars/orochimaru/144.png
	offset	0 69
	frame	data/chars/orochimaru/144.png
	offset	0 79
	frame	data/chars/orochimaru/144.png
	offset	0 89
	frame	data/chars/orochimaru/144.png
	offset	0 99
	frame	data/chars/orochimaru/144.png
	offset	0 109
	frame	data/chars/orochimaru/144.png
	offset	0 119
	frame	data/chars/orochimaru/144.png
	offset	0 129
	frame	data/chars/orochimaru/144.png
	offset	0 139
	frame	data/chars/orochimaru/144.png
	offset	0 149
	frame	data/chars/orochimaru/144.png
	offset	0 159
	frame	data/chars/orochimaru/144.png
	delay	34
	offset	0 161
	frame	data/chars/orochimaru/144.png
		
anim	walk
	loop	1
	offset	23 129
	delay	20
	frame	data/chars/orochimaru/138.png
	offset	23 131
	frame	data/chars/orochimaru/135.png
	offset	23 144
	frame	data/chars/orochimaru/139.png
	offset	23 131
	delay	15
	frame	data/chars/orochimaru/135.png
	offset	23 129
	frame	data/chars/orochimaru/138.png
		
#|edited by openBor Stats v 0.67
		
